negatives
"frozenset({'P63241', 'Q7LFX5', 'Receptor'})"
"frozenset({'P98170', 'Q8IUQ4', 'Receptor'})"
"frozenset({'Q16594', 'O14647', 'Receptor'})"
"frozenset({'P02461', 'Q86VP6', 'Receptor'})"
"frozenset({'P51148', 'O60783', 'Receptor'})"
"frozenset({'P18615', 'Receptor', 'Q09161'})"
"frozenset({'Q92688', 'P05067', 'Receptor'})"
"frozenset({'P05412', 'Receptor', 'Q9UHI6'})"
"frozenset({'Q53HC9', 'P49368', 'Receptor'})"
"frozenset({'P35226', 'P15941', 'Receptor'})"
"frozenset({'Q9Y297', 'O15169', 'Receptor'})"
"frozenset({'Receptor', 'Q9UI14', 'Q9Y5X0'})"
"frozenset({'Q9HB75', 'Q8N1F7', 'Receptor'})"
"frozenset({'P30084', 'Q9UQ80', 'Receptor'})"
"frozenset({'Receptor', 'Q9Y250', 'Q14241'})"
"frozenset({'Q9NXB0', 'P49368', 'Receptor'})"
"frozenset({'Q93008', 'Q9Y5Y2', 'Receptor'})"
"frozenset({'Q6ZT07', 'Q9UJV9', 'Receptor'})"
"frozenset({'P03372', 'Receptor', 'P46531'})"
"frozenset({'Receptor', 'Q9P2D0', 'Q9UHA4'})"
"frozenset({'Q15287', 'Q9UJV9', 'Receptor'})"
"frozenset({'Receptor', 'P35226', 'Q8NCA5'})"
"frozenset({'P06748', 'Q16777', 'Receptor'})"
"frozenset({'Q96PG8', 'P04637', 'Receptor'})"
"frozenset({'Q08379', 'P51946', 'Receptor'})"
"frozenset({'Q86X19', 'P48444', 'Receptor'})"
"frozenset({'O76003', 'Receptor', 'Q13422'})"
"frozenset({'Q9Y3Q4', 'P12931', 'Receptor'})"
"frozenset({'P54259', 'Receptor', 'Q9Y219'})"
"frozenset({'Q68DA7', 'P83916', 'Receptor'})"
"frozenset({'O75400', 'Q13595', 'Receptor'})"
"frozenset({'Q13616', 'P04406', 'Receptor'})"
"frozenset({'P62987', 'P49736', 'Receptor'})"
"frozenset({'P0DP23', 'P63098', 'Receptor'})"
"frozenset({'Q9Y5L0', 'Q29983', 'Receptor'})"
"frozenset({'P08069', 'Q00722', 'Receptor'})"
"frozenset({'Receptor', 'P04637', 'Q09028'})"
"frozenset({'Q15628', 'Q8N163', 'Receptor'})"
"frozenset({'Receptor', 'Q03060', 'P54253'})"
"frozenset({'P16220', 'Q9BTC8', 'Receptor'})"
"frozenset({'O00231', 'Q9UJV3', 'Receptor'})"
"frozenset({'P62995', 'Q01130', 'Receptor'})"
"frozenset({'Q8NFH3', 'P78406', 'Receptor'})"
"frozenset({'Receptor', 'P13984', 'O94763'})"
"frozenset({'P19338', 'Q13315', 'Receptor'})"
"frozenset({'Q13618', 'Q8NC69', 'Receptor'})"
"frozenset({'Q9H1D9', 'O14802', 'Receptor'})"
"frozenset({'Q9NY46', 'Q07954', 'Receptor'})"
"frozenset({'Q5JST6', 'Q16589', 'Receptor'})"
"frozenset({'P15408', 'P18846', 'Receptor'})"
"frozenset({'P52294', 'Receptor', 'Q9HD26'})"
"frozenset({'Q9Y3C8', 'P21281', 'Receptor'})"
"frozenset({'Q08830', 'Q9H3S7', 'Receptor'})"
"frozenset({'Q96EG3', 'Receptor', 'Q8TF50'})"
"frozenset({'Q5TCZ1', 'Q9NYF3', 'Receptor'})"
"frozenset({'Q5W5X9', 'P13196', 'Receptor'})"
"frozenset({'Q9NRL2', 'P61956', 'Receptor'})"
"frozenset({'Q6NUN9', 'Receptor', 'Q6ZMS7'})"
"frozenset({'O75478', 'Q96ST3', 'Receptor'})"
"frozenset({'P26639', 'P23246', 'Receptor'})"
"frozenset({'P18428', 'P25788', 'Receptor'})"
"frozenset({'O14980', 'Receptor', 'Q96P50'})"
"frozenset({'P31946', 'P68400', 'Receptor'})"
"frozenset({'P12931', 'P26012', 'Receptor'})"
"frozenset({'P62979', 'P14866', 'Receptor'})"
"frozenset({'Receptor', 'Q9UQB8', 'P52306'})"
"frozenset({'A8MQ03', 'Q14584', 'Receptor'})"
