negatives
"frozenset({'Q92769', 'TWEAK', 'Q00688'})"
"frozenset({'Q9BQ24', 'TWEAK', 'Q7Z3S9'})"
"frozenset({'Q9UHB9', 'TWEAK', 'Q16666'})"
"frozenset({'Q86WV1', 'TWEAK', 'Q9NZ71'})"
"frozenset({'O14862', 'TWEAK', 'O00148'})"
"frozenset({'P22681', 'P13569', 'TWEAK'})"
"frozenset({'TWEAK', 'Q16643', 'P19022'})"
"frozenset({'Q15788', 'P43699', 'TWEAK'})"
"frozenset({'Q9UKV0', 'Q6UN15', 'TWEAK'})"
"frozenset({'Q9UM11', 'Q9UJX5', 'TWEAK'})"
"frozenset({'P49189', 'Q9BW61', 'TWEAK'})"
"frozenset({'P03372', 'TWEAK', 'Q9NPD3'})"
"frozenset({'Q6ISU1', 'P15884', 'TWEAK'})"
"frozenset({'Q8N9N8', 'TWEAK', 'Q15717'})"
"frozenset({'Q96RF0', 'TWEAK', 'O75525'})"
"frozenset({'O15432', 'TWEAK', 'P43220'})"
