negatives
"frozenset({'P38919', 'KitReceptor', 'P62424'})"
"frozenset({'O95684', 'Q96QF0', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9BZG8', 'Q9Y5S9'})"
"frozenset({'KitReceptor', 'P0DML2', 'P08887'})"
"frozenset({'KitReceptor', 'P20810', 'Q99436'})"
"frozenset({'Q9UQC2', 'KitReceptor', 'P41212'})"
"frozenset({'KitReceptor', 'Q9H8V3', 'Q8N1F7'})"
"frozenset({'KitReceptor', 'P10074', 'P60370'})"
"frozenset({'KitReceptor', 'Q8IYA6', 'Q14203'})"
"frozenset({'Q13287', 'KitReceptor', 'P41227'})"
"frozenset({'P61758', 'KitReceptor', 'Q8ND90'})"
"frozenset({'Q13200', 'KitReceptor', 'P25398'})"
"frozenset({'Q9BVG8', 'KitReceptor', 'Q49A88'})"
"frozenset({'Q96CD2', 'KitReceptor', 'P07108'})"
"frozenset({'Q9C037', 'Q00987', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P54257', 'Q9NZM5'})"
"frozenset({'KitReceptor', 'Q9UBS4', 'P12109'})"
"frozenset({'P35579', 'KitReceptor', 'Q504Q3'})"
"frozenset({'P31153', 'KitReceptor', 'P21912'})"
"frozenset({'KitReceptor', 'Q99665', 'P29350'})"
"frozenset({'KitReceptor', 'Q969Z0', 'Q7Z3Y8'})"
"frozenset({'P01857', 'Q9Y6K9', 'KitReceptor'})"
"frozenset({'Q9HBF4', 'KitReceptor', 'Q92609'})"
"frozenset({'KitReceptor', 'Q92830', 'Q71DI3'})"
"frozenset({'O15230', 'KitReceptor', 'O75578'})"
"frozenset({'P09874', 'KitReceptor', 'P11387'})"
"frozenset({'KitReceptor', 'P05067', 'Q70YC4'})"
"frozenset({'Q9H0U4', 'KitReceptor', 'P27824'})"
"frozenset({'Q12906', 'Q8IWX7', 'KitReceptor'})"
"frozenset({'Q9Y2D8', 'KitReceptor', 'Q16385'})"
"frozenset({'P42261', 'KitReceptor', 'P42262'})"
"frozenset({'Q06323', 'KitReceptor', 'P28062'})"
"frozenset({'P43405', 'KitReceptor', 'O43318'})"
"frozenset({'P36873', 'KitReceptor', 'Q12879'})"
"frozenset({'Q96GD4', 'Q14249', 'KitReceptor'})"
"frozenset({'Q969Q1', 'Q15155', 'KitReceptor'})"
"frozenset({'Q99755', 'O75116', 'KitReceptor'})"
"frozenset({'Q05655', 'KitReceptor', 'Q9H0R8'})"
"frozenset({'Q9UJA5', 'KitReceptor', 'Q9Y606'})"
"frozenset({'KitReceptor', 'Q71U36', 'O14530'})"
"frozenset({'O75074', 'P48039', 'KitReceptor'})"
