negatives
"('P21333', 'P27986')"
"('P13569', 'Q9HBW0')"
"('P29460', 'P17181')"
"('P11387', 'P78527')"
"('P09769', 'Q99704')"
"('Q14197', 'P23786')"
"('P62993', 'P62140')"
"('O00585', 'Q9NPB9')"
"('Q99459', 'Q9BXI2')"
"('P08107', 'P04637')"
"('P12755', 'P10070')"
"('Q9GZT8', 'Q15834')"
"('P62745', 'Q13177')"
"('P40425', 'P37198')"
"('P26038', 'P01889')"
"('Q13501', 'Q12830')"
"('Q14847', 'Q13643')"
"('Q9P2H0', 'Q8NC44')"
"('P02792', 'P24522')"
"('Q53FD0', 'Q15834')"
"('P78556', 'Q9Y4K3')"
"('Q13177', 'Q09472')"
"('Q5T6S3', 'P63279')"
"('P00742', 'O14880')"
"('P62899', 'P61353')"
"('P37802', 'P01889')"
"('P62158', 'Q9UM54')"
"('Q99613', 'Q6PD74')"
"('Q9Y478', 'Q9BWD1')"
"('Q8WXH5', 'Q969J5')"
"('P01106', 'Q13200')"
"('O14939', 'P18031')"
"('Q13480', 'Q05209')"
"('P62829', 'P49207')"
"('P02778', 'P46094')"
"('P29459', 'P29460')"
"('Q16363', 'P53708')"
"('P35626', 'Q8NGJ7')"
"('P07948', 'P14317')"
"('P23508', 'P15311')"
"('Q03519', 'P04222')"
"('P51668', 'Q9HCM9')"
