negatives
"('Q13191', 'P58107')"
"('P63211', 'P48736')"
"('Q7Z6J4', 'Q15287')"
"('P49023', 'Q06124')"
"('Q13315', 'Q9Y6J0')"
"('Q9BWW9', 'P46108')"
"('Q9C0K7', 'Q9Y4K3')"
"('P11940', 'Q9UIV1')"
"('P61289', 'P62195')"
"('P84077', 'Q9NZ52')"
"('P16220', 'Q86XF7')"
"('P15498', 'P61586')"
"('Q9ULV8', 'O15069')"
"('P26045', 'Q96KM6')"
"('P50120', 'P10276')"
"('Q00653', 'Q13489')"
"('Q9UK08', 'Q13972')"
"('P25021', 'Q5JWF2')"
"('P09769', 'P42336')"
"('Q8WZA2', 'O14924')"
"('P62837', 'Q8N5U6')"
"('P46094', 'O60674')"
"('P49642', 'P07900')"
"('Q14694', 'O75385')"
"('Q9HAU0', 'P08727')"
"('P16333', 'O15085')"
"('O14512', 'P08887')"
"('P08107', 'Q9Y572')"
"('Q92608', 'P17081')"
"('P01566', 'P42702')"
"('P01889', 'P35241')"
"('Q9UJV9', 'O95433')"
"('Q9Y265', 'Q9Y4A5')"
