negatives
"('Q6P2Q9', 'Q8N6T7')"
"('Q86UK5', 'P61009')"
"('Q03164', 'O75446')"
"('P42285', 'Q99624')"
"('Q5XG87', 'Q8N3Z6')"
"('Q8WWB7', 'Q9BPW9')"
"('O95831', 'Q96DB2')"
"('Q9P2S2', 'Q8NFZ4')"
"('Q9UBK2', 'Q92731')"
"('P49789', 'P36406')"
"('Q9NRC8', 'Q15361')"
"('P49682', 'Q9UL17')"
"('P10415', 'Q86Y07')"
"('P23771', 'O95983')"
"('Q96P70', 'Q96A08')"
"('P02795', 'Q8TE69')"
"('P0DP23', 'P41279')"
"('Q01546', 'Q8NI38')"
"('O43541', 'P61626')"
"('Q00610', 'P63000')"
"('Q15434', 'Q13618')"
"('Q6WCQ1', 'Q69YQ0')"
"('Q9BSM1', 'O14776')"
"('Q8N4G2', 'Q8N8R7')"
"('Q96FK6', 'Q9H1D9')"
"('P40337', 'Q9UBF6')"
"('P60412', 'Q9BYQ4')"
"('P01106', 'Q86UX7')"
"('Q13118', 'Q9BZS1')"
"('Q96FW1', 'Q96C01')"
"('Q15038', 'Q6GQQ9')"
"('Q8WV44', 'Q99755')"
"('P20671', 'Q07020')"
"('Q9HDC5', 'Q9P0N5')"
"('Q86WV1', 'P0DPB6')"
"('P29590', 'P46100')"
"('P51532', 'Q86X55')"
"('Q9Y2J4', 'Q5VTR2')"
"('P43364', 'Q8N8B7')"
"('P30044', 'Q6MZP7')"
"('Q14194', 'Q13115')"
"('O60260', 'P42566')"
"('Q96SB8', 'Q9BXY0')"
"('Q9UH62', 'P63092')"
"('P15622', 'Q63HR2')"
"('Q9P0I2', 'Q14203')"
"('P15018', 'P60328')"
"('Q6ZS10', 'O43639')"
"('Q92614', 'O75369')"
"('Q8WVF5', 'Q5JVL4')"
"('Q09028', 'P05388')"
"('Q9UL01', 'Q02297')"
"('Q8NF99', 'P17028')"
"('P15880', 'P18077')"
"('P00519', 'Q9BQ89')"
"('P49411', 'P62910')"
"('Q9HCY8', 'P34949')"
"('Q13509', 'P09651')"
"('Q3KNV8', 'Q9Y4F3')"
"('P31930', 'Q14203')"
"('P23771', 'O60315')"
"('Q9HCE1', 'Q9BRQ0')"
"('Q92831', 'Q96KQ7')"
"('P33992', 'A6NMY6')"
"('O15264', 'P67809')"
"('P03905', 'P03915')"
"('P18146', 'Q99805')"
"('O95684', 'P61019')"
"('Q49A88', 'O43303')"
"('Q96P11', 'P09651')"
"('P40337', 'Q8N2W9')"
"('Q00839', 'Q32NC0')"
"('Q13620', 'P0DMV8')"
"('P26373', 'P46782')"
"('O75208', 'Q8WVC6')"
"('Q13315', 'Q9BVW5')"
"('P04629', 'P53007')"
"('Q12772', 'Q15942')"
"('P17931', 'Q8WUM4')"
"('P06753', 'Q9UBU9')"
"('Q07889', 'Q8WU20')"
"('Q15428', 'P62136')"
"('Q8NGN0', 'Q9P2W3')"
"('Q3LI72', 'O14503')"
"('O60684', 'P46527')"
"('P60328', 'Q9NQX5')"
"('Q96B18', 'P41743')"
