negatives
"('P38606', 'P05412')"
"('P05412', 'Q0VDF9')"
"('O95619', 'Q9BXW9')"
"('P41586', 'O14775')"
"('P02538', 'Q15323')"
"('Q00534', 'P01833')"
"('Q9Y5J7', 'P23246')"
"('Q96QU8', 'Q9BVC4')"
"('Q9UNZ2', 'O60547')"
"('Q5T753', 'P78317')"
"('Q96ST8', 'P30419')"
"('O95365', 'Q04206')"
"('O00571', 'O95166')"
"('Q9BYX4', 'Q15366')"
"('Q9C0E8', 'Q8N4P2')"
"('Q8NBF2', 'Q8TAP6')"
"('O14775', 'Q8NFM4')"
"('Q9P0L0', 'Q9BTV4')"
"('O75386', 'Q9H814')"
"('Q96BF6', 'Q92769')"
"('P43115', 'Q0VD86')"
"('Q96N67', 'P35579')"
"('Q96RT8', 'P68363')"
"('O14649', 'P53618')"
"('Q9NTJ3', 'Q99853')"
"('P51959', 'A6NMK7')"
"('Q14790', 'Q9Y3D6')"
"('Q8NEY8', 'Q13501')"
"('P60484', 'P08047')"
"('P07288', 'Q92793')"
"('Q5T215', 'Q96Q05')"
"('O14493', 'Q96AP7')"
"('P61221', 'P08559')"
"('Q00987', 'O14818')"
"('Q8IXZ3', 'O00560')"
"('P11362', 'Q00722')"
"('Q13683', 'P23229')"
"('Q15843', 'P62877')"
"('Q8IYJ1', 'P49736')"
"('B7ZAQ6', 'Q6P5W5')"
"('P45984', 'P0DPA2')"
"('P32121', 'P25101')"
"('Q07157', 'P60709')"
"('Q9HAH7', 'P42694')"
"('O60779', 'Q9UNP9')"
"('O00560', 'P50221')"
"('Q5TCQ9', 'Q9H204')"
"('P17612', 'Q13526')"
"('Q8N726', 'Q9BZ95')"
"('P09913', 'P62314')"
"('Q9HAV0', 'Q07002')"
"('Q9H0W5', 'P55072')"
"('Q8NBJ7', 'P10909')"
"('Q9H5N1', 'Q96A65')"
"('Q13596', 'Q9UI14')"
"('Q15696', 'O75533')"
"('Q13617', 'P35221')"
"('P18146', 'O00165')"
"('Q16513', 'P31749')"
"('Q96B18', 'Q9ULJ3')"
"('Q01201', 'Q9UBI1')"
"('Q9UDY4', 'P62495')"
"('P05067', 'Q96C45')"
"('Q13636', 'Q12906')"
"('P51398', 'Q9BYC9')"
"('Q00987', 'Q9NR12')"
"('P60520', 'P40926')"
"('A2RUH7', 'Q8IUH5')"
"('P47755', 'Q14247')"
"('P61244', 'Q96P16')"
"('Q71DI3', 'Q9P0U4')"
"('P0DPB3', 'P67775')"
"('P63104', 'Q16890')"
"('P31350', 'Q15717')"
"('P10914', 'P51532')"
"('P05141', 'O43639')"
"('Q16665', 'P63279')"
